nominal,nominal,nominal,nominal,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,,,,,,,,
Pennsaukentownship,NJ,7,57660,?,3,8.36,7,559.86,5439.81,,,,,,,,
Perrysburgcity,OH,173,62148,?,0,0,0,21.66,2642.98,,,,,,,,
Cullmancity,AL,?,?,?,3,16.46,?,389.55,?,,,,,,,,
Veronatownship,NJ,13,75815,?,1,7.24,0,188.13,1960.93,,,,,,,,
Fultoncity,NY,75,27815,?,1,7.7,4,169.44,5460.57,,,,,,,,
Jacksoncity,MS,?,?,5,173,88.66,145,1424.74,11722.35,,,,,,,,
Azusacity,CA,?,?,?,17,39.25,12,658.05,4167.63,,,,,,,,
Barringtontown,RI,1,5140,?,0,0,2,82.38,1907.48,,,,,,,,
UpperChichestertownship,PA,45,78776,?,4,26.21,3,281.76,2974.9,,,,,,,,
Homewoodcity,AL,?,?,?,4,16.62,?,374.05,?,,,,,,,,
Englewoodcity,NJ,3,21480,?,9,35.97,1,623.55,4592.69,,,,,,,,
Daytoncity,OH,113,21000,0,269,150.01,260,1629.43,9465.95,,,,,,,,
SanLeandrocity,CA,?,?,?,25,35.8,29,904.94,7150.73,,,,,,,,
Simpsonvilletown,SC,?,?,?,4,30.79,0,153.93,2285.85,,,,,,,,
Tooelecity,UT,?,?,?,3,19.83,0,198.28,4586.91,,,,,,,,
CanonCitycity,CO,?,?,?,11,76.68,1,223.06,4642.41,,,,,,,,
Summervilletown,SC,?,?,?,13,57.59,0,699.98,7323.23,,,,,,,,
WestWhitelandtownship,PA,29,84192,?,1,7.93,2,71.35,4043.13,,,,,,,,
WhitePlainscity,NY,119,81677,0,7,14.09,4,366.34,5410.63,,,,,,,,
DelCitycity,OK,?,?,?,19,79.5,2,292.91,4946.02,,,,,,,,
ElkRivercity,MN,141,18674,?,?,?,1,?,3511.82,,,,,,,,
Ridgelandcity,MS,?,?,?,3,21.07,0,252.9,5212.5,,,,,,,,
Laurelcity,MD,?,?,?,8,36.83,?,626.09,?,,,,,,,,
Collingswoodborough,NJ,7,14260,?,0,0,2,408.98,4817.69,,,,,,,,
LosAltoscity,CA,?,?,?,6,21.17,11,105.84,2007.34,,,,,,,,
Owassocity,OK,?,?,?,5,38.28,6,145.47,2802.24,,,,,,,,
Milpitascity,CA,?,?,?,18,32.02,4,327.36,4109.74,,,,,,,,
Monroetown,CT,1,48620,?,0,0,3,99.13,1737.61,,,,,,,,
Middletowntownship,NJ,25,45990,?,5,7.01,1,68.68,1572.73,,,,,,,,
SanRafaelcity,CA,?,?,?,10,20.45,24,560.45,5700.67,,,,,,,,
ElPasocity,TX,?,?,5,281,47.61,461,1035.05,6961.87,,,,,,,,
Pembroketown,MA,23,52630,?,2,12.93,0,303.91,2289.04,,,,,,,,
Wheelingcity,WV,?,?,?,12,35.21,10,534.04,3060.45,,,,,,,,
Northbridgetown,MA,27,46925,?,3,21.53,0,674.75,1636.64,,,,,,,,
Moultriecity,GA,?,?,?,14,89.06,4,1278.63,8396.95,,,,,,,,
ElRenocity,OK,?,?,?,12,75.49,18,509.56,4479.11,,,,,,,,
Bergenfieldborough,NJ,3,5170,?,0,0,1,151.91,1791,,,,,,,,
SpringGardentownship,PA,133,73168,?,1,8.77,1,70.19,3272.79,,,,,,,,
LomaLindacity,CA,?,?,?,2,10.77,2,350.03,5885.84,,,,,,,,
Moscowcity,ID,?,?,?,4,20.61,4,159.72,2313.36,,,,,,,,
Hurstcity,TX,?,?,?,36,100.23,7,860.27,6584.26,,,,,,,,
TerreHautecity,IN,?,?,0,31,51.04,24,321.08,6885.88,,,,,,,,
Brawleycity,CA,?,?,?,4,18.23,16,989.2,5875.92,,,,,,,,
Oregoncity,OH,95,58730,?,7,38.13,7,403.14,5431.47,,,,,,,,
Freeportcity,TX,?,?,?,1,8.11,6,592.34,5201.23,,,,,,,,
Edwardsvillecity,IL,?,?,?,?,?,2,?,3295.26,,,,,,,,
Penntownship,PA,129,58880,?,5,42.17,7,101.21,3500.34,,,,,,,,
LowerMorelandtownship,PA,91,45008,?,1,8.36,1,83.56,2105.79,,,,,,,,
Manheimtownship,PA,71,46896,?,1,3.4,3,125.96,2995.85,,,,,,,,
SanBernardinocity,CA,?,?,5,129,70.63,144,3047.66,9248.11,,,,,,,,
WestHollywoodcity,CA,?,?,?,26,75.11,20,2507.51,9827.83,,,,,,,,
Rochestercity,NY,55,63000,10,159,68.91,348,1171.84,10038.61,,,,,,,,
Normancity,OK,?,?,0,34,38.71,10,230,4965.56,,,,,,,,
TheColonycity,TX,?,?,?,1,3.71,25,140.88,2828.75,,,,,,,,
Gladstonecity,OR,?,?,?,5,45.5,7,282.07,5050.05,,,,,,,,
Lowellcity,MA,17,37000,0,49,50.74,166,1274.62,7762.64,,,,,,,,
LaPortecity,TX,?,?,?,22,69.83,5,384.08,2482.22,,,,,,,,
Victoriacity,TX,?,?,?,21,34.02,21,933.19,7180.35,,,,,,,,
Gainesvillecity,GA,?,?,?,8,40.25,11,1232.52,7787.5,,,,,,,,
Yarmouthtown,MA,1,82525,?,9,40.09,7,445.41,4164.63,,,,,,,,
Soloncity,OH,35,72928,?,0,0,0,58.37,1916.34,,,,,,,,
Davenportcity,IA,?,?,10,65,66.73,66,1565.55,8078.23,,,,,,,,
Raleighcity,NC,?,?,5,94,39.02,29,842.7,5502.07,,,,,,,,
Rexburgcity,ID,?,?,?,1,6.72,1,53.73,4103.43,,,,,,,,
Camdencity,NJ,7,10000,5,90,108.05,306,3530.78,12109.83,,,,,,,,
Cranberrytownship,PA,19,16920,?,1,6.64,0,6.64,1592.89,,,,,,,,
ElMontecity,CA,?,?,10,45,42.78,74,1318.6,4576.61,,,,,,,,
Hudsontown,NH,11,37940,?,6,30.4,5,91.21,2153.53,,,,,,,,
Austincity,TX,?,?,5,271,53.98,610,599.78,9773.95,,,,,,,,
OldBridgetownship,NJ,23,54705,0,3,5.1,20,141.06,2659.71,,,,,,,,
Hannibalcity,MO,?,?,?,9,49.29,10,657.14,6149.72,,,,,,,,
Worcestercity,MA,27,82000,10,77,46.3,?,?,?,,,,,,,,
Greenwoodcity,SC,?,?,?,19,81.83,3,2885.57,5977.86,,,,,,,,
Snydercity,TX,?,?,?,3,24.22,1,750.73,2542.78,,,,,,,,
TarponSpringscity,FL,?,?,?,9,45.73,0,985.82,4019.51,,,,,,,,
Keizercity,OR,?,?,?,7,25.5,11,142.09,4080.44,,,,,,,,
LincolnParkborough,NJ,27,40290,?,0,0,1,98.73,1337.28,,,,,,,,
Lackawannacity,NY,29,40189,?,3,14.91,?,1441.78,?,,,,,,,,
Englewoodcity,OH,?,?,?,2,17.66,7,105.96,5792.49,,,,,,,,
Roanokecity,VA,770,68000,0,32,32.78,57,578.8,5007.38,,,,,,,,
KansasCitycity,MO,?,?,10,515,115.59,527,2460.11,10039.52,,,,,,,,
Florencecity,AL,?,?,?,9,24.28,?,607.03,?,,,,,,,,
Cortlandcity,NY,23,18388,?,8,40.1,15,205.49,5117.28,,,,,,,,
Norwalkcity,CA,?,?,?,33,32.59,21,1174.32,4015.8,,,,,,,,
Yonkerscity,NY,119,84000,5,34,18.56,89,737.62,4494.53,,,,,,,,
BocaRatoncity,FL,?,?,10,21,31.14,7,360.34,5492.62,,,,,,,,
Hamburgtownship,MI,93,36100,?,?,?,3,?,2209.49,,,,,,,,
Northfieldcity,MN,131,46924,?,4,24.85,6,105.6,3217.59,,,,,,,,
ThousandOakscity,CA,?,?,?,22,19.72,50,305.72,2631.37,,,,,,,,
Rosevillecity,MN,123,55852,?,?,?,9,?,6203.2,,,,,,,,
Brunswickcity,GA,?,?,?,18,99.5,0,2089.44,9833.62,,,,,,,,
Goldsborocity,NC,?,?,?,20,43.66,12,1477.94,7734.63,,,,,,,,
SanJosecity,CA,?,?,10,391,47.52,318,646.17,3857.83,,,,,,,,
Oneontacity,NY,77,54881,?,2,15.35,2,130.44,2654.8,,,,,,,,
Folsomcity,CA,?,?,?,4,10.05,0,190.95,2756.14,,,,,,,,
LongBeachcity,NY,59,43335,?,1,2.93,?,383.57,?,,,,,,,,
Farmingtoncity,NM,?,?,?,50,135.2,14,816.61,6800.61,,,,,,,,
Tredyffrintownship,PA,29,77344,?,0,0,6,105.23,1918.69,,,,,,,,
Shelbyvillecity,TN,?,?,?,5,31.4,3,583.99,3679.75,,,,,,,,
Maywoodcity,CA,?,?,?,3,10.91,9,865.9,2670.45,,,,,,,,
Webstertown,MA,27,73895,?,9,53.34,1,349.65,3662.44,,,,,,,,
Tiffincity,OH,147,76778,?,4,21.49,3,161.19,3868.68,,,,,,,,
Hanovertownship,NJ,27,29550,?,0,0,1,92.04,1773.91,,,,,,,,
Colchestertown,VT,7,14875,?,3,19.63,?,26.17,?,,,,,,,,
Spartanburgcity,SC,?,?,0,42,91.64,10,3414.57,11646.63,,,,,,,,
Goffstowntown,NH,11,29860,?,3,20.3,3,155.67,2260.58,,,,,,,,
Austincity,MN,99,2908,?,?,?,2,?,3748.06,,,,,,,,
Hanfordcity,CA,?,?,?,5,14.64,8,676.45,5294.44,,,,,,,,
Charlottecity,NC,?,?,0,356,65.42,389,1787.2,7428.52,,,,,,,,
Anacortescity,WA,?,?,?,2,15.29,8,68.8,3730.32,,,,,,,,
Concordcity,NC,?,?,?,5,15.9,16,728.37,5655.22,,,,,,,,
Chattanoogacity,TN,?,?,0,154,99.59,96,1960.67,8666.52,,,,,,,,
MillValleycity,CA,?,?,?,4,30.18,1,286.66,4277.31,,,,,,,,
SugarLandcity,TX,?,?,?,0,0,5,216.2,3634.11,,,,,,,,
Portlandcity,TX,?,?,?,0,0,2,86.34,3144.34,,,,,,,,
Fallstownship,PA,17,25112,?,3,8.43,4,137.66,2778.4,,,,,,,,
Peterstownship,PA,125,59608,?,0,0,7,20.39,1549.65,,,,,,,,
Huntingtoncity,IN,?,?,?,3,17.55,3,988.71,2983.68,,,,,,,,
Gaffneycity,SC,?,?,?,3,18.75,0,393.73,3049.81,,,,,,,,
DesMoinescity,WA,?,?,?,42,219.67,10,564.85,4979.08,,,,,,,,
Radfordcity,VA,750,65392,?,4,25.08,7,363.7,2627.45,,,,,,,,
Bristoltown,RI,1,9280,?,0,0,0,116.1,1736.87,,,,,,,,
Ridgewoodvillage,NJ,3,63000,?,4,16.17,4,80.84,1240.86,,,,,,,,
Enniscity,TX,?,?,?,1,6.86,1,260.79,4879.56,,,,,,,,
Wauwatosacity,WI,79,84675,?,6,12.48,?,166.4,?,,,,,,,,
HarperWoodscity,MI,163,36700,?,?,?,5,?,14440.11,,,,,,,,
Ardmorecity,OK,?,?,?,4,16.85,2,724.52,9448.19,,,,,,,,
NewOrleanscity,LA,71,55000,5,298,60.62,?,2038.98,?,,,,,,,,
Prichardcity,AL,?,?,?,36,107.36,?,2982.31,?,,,,,,,,
MontereyParkcity,CA,?,?,5,9,15.46,2,893.29,4078.2,,,,,,,,
Downeycity,CA,?,?,5,28,27.89,46,514.99,3743.36,,,,,,,,
Hopewellcity,VA,670,38424,?,12,48.58,33,708.53,5299.81,,,,,,,,
Wakefieldtown,MA,17,72215,?,3,11.66,0,69.94,2121.46,,,,,,,,
Edmondcity,OK,?,?,?,13,21.1,21,160.72,3298.75,,,,,,,,
Waynecity,MI,163,84940,?,?,?,14,?,6088.26,,,,,,,,
Weymouthtown,MA,21,78865,?,6,10.77,11,441.72,2813.69,,,,,,,,
Mobilecity,AL,?,?,10,122,59.18,52,1076.95,7955.35,,,,,,,,
Andovercity,MN,3,1486,?,?,?,1,?,2907.96,,,,,,,,
Gadsdencity,AL,?,?,5,40,85.24,?,2186.47,?,,,,,,,,
Rutlandcity,VT,21,61225,?,9,51.02,?,136.06,?,,,,,,,,
Appletoncity,WI,87,2375,?,9,12.83,25,64.14,3807.28,,,,,,,,
Portagecity,MI,77,65560,?,?,?,13,?,5240.51,,,,,,,,
Terrellcity,TX,?,?,?,13,97.93,2,851.22,6410.55,,,,,,,,
Kerrvillecity,TX,?,?,?,3,15.5,8,242.89,4382.43,,,,,,,,
Barnegattownship,NJ,29,3050,?,2,15.87,5,103.18,1690.61,,,,,,,,
Columbiacity,SC,?,?,5,94,89.99,13,2109.96,9737.98,,,,,,,,
Cloviscity,CA,?,?,?,17,28.06,29,402.75,4874.22,,,,,,,,
Owossocity,MI,155,61940,?,?,?,7,?,3482.74,,,,,,,,
NewSmyrnaBeachcity,FL,?,?,?,7,38.78,0,559.59,4770.35,,,,,,,,
Danburytown,CT,1,18500,0,12,18.55,12,265.95,5201.39,,,,,,,,
Lexingtoncity,NC,?,?,?,9,47.69,8,1012.03,7900.17,,,,,,,,
Mundytownship,MI,49,56160,?,?,?,2,?,4083.88,,,,,,,,
Columbuscity,OH,49,18000,5,658,103.02,1029,1118.78,7860.14,,,,,,,,
Haverhillcity,MA,9,29405,0,22,41.31,30,572.76,4499.45,,,,,,,,
Commercecity,CA,?,?,?,8,64.42,6,2584.96,13802.54,,,,,,,,
Alpenacity,MI,7,1740,?,?,?,7,?,5340.15,,,,,,,,
Elizabethtowncity,KY,?,?,?,2,10.24,2,450.38,4601.05,,,,,,,,
Oxnardcity,CA,?,?,10,55,37.52,56,984.34,4941.47,,,,,,,,
Bellefontainecity,OH,?,?,?,8,63,0,259.88,3016.22,,,,,,,,
Winchestercity,VA,840,86720,?,10,41.61,7,711.46,7368.42,,,,,,,,
RichmondHeightscity,MO,?,?,?,2,18.97,1,749.31,12349.43,,,,,,,,
DanaPointcity,CA,?,?,?,13,38.66,7,514.53,3967.52,,,,,,,,
Houstoncity,TX,?,?,5,1109,63.94,1549,?,6784.1,,,,,,,,
Danverstown,MA,9,16250,?,1,3.91,0,273.42,4886.34,,,,,,,,
Greenwoodcity,MS,?,?,?,10,52.68,7,489.94,11189.55,,,,,,,,
ClevelandHeightscity,OH,35,16014,?,1,1.86,0,57.79,2464.39,,,,,,,,
Cambridgecity,MA,17,11000,5,27,28.77,21,985.62,5843.37,,,,,,,,
Dunkirkcity,NY,13,21105,?,3,21.62,5,259.44,4533.01,,,,,,,,
NorthHuntingdontownship,PA,129,55128,?,1,3.49,1,101.26,1386.17,,,,,,,,
NewBritaintown,CT,3,50440,0,21,30.05,1,728.32,6652.17,,,,,,,,
Springvillecity,UT,?,?,?,13,80.66,1,254.39,3623.5,,,,,,,,
Athenscity,OH,?,?,?,9,42.31,0,239.75,2848.82,,,,,,,,
VestaviaHillscity,AL,?,?,?,0,0,?,34.98,?,,,,,,,,
Hilltowntownship,PA,17,34952,?,2,18.59,0,55.76,2090.88,,,,,,,,
Baltimorecity,MD,510,4000,0,668,93.79,545,3081.26,9901.59,,,,,,,,
ElCerritocity,CA,?,?,?,8,35.32,9,909.37,7323.53,,,,,,,,
Watertowncity,WI,55,83975,?,5,23.98,5,105.5,3879.54,,,,,,,,
Elgincity,IL,?,?,?,?,?,26,?,4158.25,,,,,,,,
McAllencity,TX,?,?,10,28,28.84,20,739.5,11503.4,,,,,,,,
Olympiacity,WA,?,?,?,33,81.73,8,321.96,6939.42,,,,,,,,
Fairfieldtown,CT,1,26620,0,1,1.84,4,?,3813.53,,,,,,,,
Ringwoodborough,NJ,31,63150,?,1,7.51,1,15.03,1059.59,,,,,,,,
NorthLauderdalecity,FL,?,?,?,3,10.78,8,441.95,4915.38,,,,,,,,
NewBraunfelscity,TX,?,?,?,5,15.75,9,1726.58,5293.17,,,,,,,,
YorbaLindacity,CA,?,?,?,5,8.09,23,144,2103.36,,,,,,,,
Bloomfieldtownship,NJ,13,6260,0,3,6.56,5,373.88,4309.42,,,,,,,,
LauderdaleLakescity,FL,?,?,?,21,74.82,3,1304.02,6160.26,,,,,,,,
Winonacity,MN,169,71032,?,?,?,4,?,5755.48,,,,,,,,
HoffmanEstatesvillage,IL,?,?,?,?,?,11,?,2604.66,,,,,,,,
GooseCreekcity,SC,?,?,?,6,21.8,1,232.55,2405.44,,,,,,,,
Medfordcity,OR,?,?,?,35,65.36,44,524.76,8117.95,,,,,,,,
PinellasParkcity,FL,?,?,?,22,48.08,18,439.29,6521.55,,,,,,,,
Bethanycity,OK,?,?,?,3,14.93,7,154.31,4514.91,,,,,,,,
Mustangcity,OK,?,?,?,6,51.51,2,171.7,2841.69,,,,,,,,
Secaucustown,NJ,17,66570,?,5,32.36,1,271.86,6964.85,,,,,,,,
Comptoncity,CA,?,?,5,75,77.35,28,2169.92,5011.24,,,,,,,,
Salisburycity,NC,?,?,?,11,38.88,14,1124.03,9154.85,,,,,,,,
Lawrencecity,IN,?,?,?,8,29.18,1,255.32,3490.54,,,,,,,,
Trentoncity,MI,163,80420,?,?,?,5,?,2024.21,,,,,,,,
Salisburycity,MD,?,?,?,31,138.62,23,2209.01,11255.2,,,,,,,,
LakeCitycity,FL,?,?,?,5,49.07,3,2119.93,13023.85,,,,,,,,
CapeGirardeaucity,MO,?,?,?,10,27.59,2,331.04,5892.58,,,,,,,,
McMinnvillecity,TN,?,?,?,6,48.83,9,1000.98,6331.38,,,,,,,,
OakHarborcity,WA,?,?,?,11,57.85,5,99.93,3355.42,,,,,,,,
Cinnaminsontownship,NJ,5,12940,?,2,13.4,0,247.89,2994.77,,,,,,,,
Lakewoodcity,CA,?,?,?,22,27.56,29,987.28,5192.01,,,,,,,,
GrossePointeFarmscity,MI,163,35520,?,?,?,0,?,2439.98,,,,,,,,
TwoRiverscity,WI,71,81325,?,0,0,2,45.13,2858.43,,,,,,,,
Claytoncity,MO,?,?,?,0,0,1,354.46,4730.9,,,,,,,,
Romecity,GA,?,?,?,6,18.84,19,1884.24,9160.57,,,,,,,,
Altoonacity,PA,13,2184,?,16,30.41,22,309.78,2708.2,,,,,,,,
Atascaderocity,CA,?,?,?,11,45.17,6,332.61,3646.37,,,,,,,,
VadnaisHeightscity,MN,123,66460,?,?,?,1,?,1345.39,,,,,,,,
MountClemenscity,MI,99,55820,?,?,?,6,?,5232.13,,,,,,,,
Burlesoncity,TX,?,?,?,3,16.24,8,167.79,3112.31,,,,,,,,
Hoovercity,AL,?,?,?,7,16.55,?,208.03,?,,,,,,,,
Lawrencetownship,NJ,21,39510,?,5,18.87,4,264.12,7399.16,,,,,,,,
Readingtown,MA,17,56130,?,3,12.84,0,106.98,1377.95,,,,,,,,
Brigantinecity,NJ,1,7810,?,2,16.59,3,348.32,5382.32,,,,,,,,
Dracuttown,MA,17,17475,?,7,26.38,0,286.4,3764.7,,,,,,,,
Brenhamcity,TX,?,?,?,8,62.56,6,742.94,5802.77,,,,,,,,
Woonsocketcity,RI,7,80780,?,11,27.18,8,353.39,2444.09,,,,,,,,
Pinolecity,CA,?,?,?,2,10.78,11,803.36,5154.47,,,,,,,,
HighlandParkborough,NJ,23,31470,?,0,0,1,84.88,2253.09,,,,,,,,
Cleburnecity,TX,?,?,?,1,4.23,8,346.72,6054.97,,,,,,,,
Memphiscity,TN,?,?,5,725,117.13,585,1633.81,8501.39,,,,,,,,
Middletowntown,RI,5,45460,?,5,25.22,4,786.89,2133.67,,,,,,,,
Durantcity,OK,?,?,?,3,22.53,5,360.5,6023.28,,,,,,,,
Stillwatercity,OK,?,?,?,16,42.39,18,267.59,3799.28,,,,,,,,
HermosaBeachcity,CA,?,?,?,3,15.83,5,538.17,5550.57,,,,,,,,
Reidsvillecity,NC,?,?,?,4,31.73,5,499.72,8043.15,,,,,,,,
Grandvillecity,MI,81,34160,?,?,?,3,?,3496.83,,,,,,,,
CoosBaycity,OR,?,?,?,6,34.04,6,198.58,6683.69,,,,,,,,
Peoriacity,AZ,?,?,?,16,22.04,12,410.47,3629.48,,,,,,,,
LaPortecity,IN,?,?,?,5,21.63,2,1276.17,4771.59,,,,,,,,
Strongsvillecity,OH,35,75098,?,2,5.29,9,58.2,2084.49,,,,,,,,
Ipswichtown,MA,9,32310,?,0,0,0,143.18,1988.55,,,,,,,,
Lansingcity,MI,65,46000,0,?,?,86,?,6197.61,,,,,,,,
Randolphtown,MA,21,55955,?,4,12.9,4,206.47,3229.34,,,,,,,,
PortArthurcity,TX,?,?,5,18,30.05,55,1644.35,7692.56,,,,,,,,
Tuskegeecity,AL,?,?,?,9,73.53,3,1282.68,8545.75,,,,,,,,
Roswellcity,GA,?,?,?,5,8.92,10,194.49,3855.9,,,,,,,,
Conneautcity,OH,7,18350,?,4,30.14,0,97.97,2449.13,,,,,,,,
Naplescity,FL,?,?,10,7,32.41,1,541.74,5922.12,,,,,,,,
WiltonManorscity,FL,?,?,?,4,33.21,1,838.59,9407.17,,,,,,,,
Homesteadcity,FL,?,?,?,30,128.6,8,3364.91,14008.32,,,,,,,,
Ridgecrestcity,CA,?,?,?,7,23.69,57,700.63,3604.67,,,,,,,,
Westminstercity,CO,?,?,0,16,18.11,17,320.3,4810.2,,,,,,,,
Pharrcity,TX,?,?,?,14,37.57,37,880.21,9164.34,,,,,,,,
McAlestercity,OK,?,?,?,6,33.84,9,428.7,4078.29,,,,,,,,
Fairmontcity,MN,91,20330,?,?,?,3,?,5759.96,,,,,,,,
Riverviewcity,MI,163,68880,?,?,?,0,?,2064.9,,,,,,,,
SantaMariacity,CA,?,?,?,39,58.86,8,774.19,6688.5,,,,,,,,
Independencecity,MO,?,?,10,51,45.28,29,581.49,5835.3,,,,,,,,
Morgantoncity,NC,?,?,?,4,22.63,2,503.48,6579.17,,,,,,,,
Sylvaniatownship,OH,95,76025,?,3,12.87,3,111.56,4376.74,,,,,,,,
GroverCitycity,CA,?,?,?,9,73.81,3,459.24,3345.91,,,,,,,,
Lewistoncity,ID,?,?,?,12,38.84,23,233.06,4017.09,,,,,,,,
Delrantownship,NJ,5,17440,?,5,37.07,3,378.11,3024.91,,,,,,,,
JeffersonCitycity,MO,?,?,?,4,10.74,8,217.44,4225.28,,,,,,,,
Jacksoncity,MI,75,41420,?,?,?,23,?,5842.69,,,,,,,,
Libertytownship,OH,155,43344,?,5,37.21,?,238.15,?,,,,,,,,
Whittiercity,CA,?,?,?,15,15.53,16,453.49,3505.76,,,,,,,,
Medfieldtown,MA,21,39765,?,0,0,0,27.66,1069.52,,,,,,,,
MuskegonHeightscity,MI,121,56360,?,?,?,18,?,12061.01,,,,,,,,
Auburncity,CA,?,?,?,1,8.39,3,377.36,4293.5,,,,,,,,
Irvinecity,CA,?,?,?,12,9.5,38,111.68,3520.65,,,,,,,,
Watervillecity,ME,11,80740,?,2,12.31,1,215.44,5884.53,,,,,,,,
PerthAmboycity,NJ,23,58200,0,18,44.25,17,1214.45,6534.41,,,,,,,,
Neenahcity,WI,139,55750,?,2,8.14,4,174.98,3316.51,,,,,,,,
SimiValleycity,CA,?,?,?,16,14.89,24,237.24,2453.34,,,,,,,,
BuffaloGrovevillage,IL,?,?,?,?,?,2,?,1546.43,,,,,,,,
Ballwincity,MO,?,?,?,1,4.13,0,78.56,1649.71,,,,,,,,
Pittsfieldcity,MA,3,53960,?,2,4.28,0,529.02,3452.56,,,,,,,,
MountHollytownship,NJ,5,48900,?,10,92.6,18,1444.58,6982.13,,,,,,,,
Hillsidetownship,NJ,39,31980,?,9,41.68,5,926.23,6080.67,,,,,,,,
Sylvaniacity,OH,?,?,?,1,5.61,0,61.66,1154.71,,,,,,,,
NorthArlingtonborough,NJ,3,52320,?,2,14.1,0,155.09,2629.54,,,,,,,,
Kearnytown,NJ,17,36510,0,8,22.22,5,433.21,5695.64,,,,,,,,
Summitcity,NJ,39,71430,?,3,14.78,3,88.69,2049.66,,,,,,,,
PeachtreeCitycity,GA,?,?,?,0,0,1,11.72,917.97,,,,,,,,
Gloucestertownship,NJ,7,26760,?,35,62.43,6,285.38,3708.2,,,,,,,,
Bryancity,TX,?,?,?,54,87.24,8,827.14,6242.33,,,,,,,,
Tahlequahcity,OK,?,?,?,5,43.58,1,278.92,5308.11,,,,,,,,
LaCanadaFlintridgecity,CA,?,?,?,0,0,3,2008.66,14021.27,,,,,,,,
Maplewoodtownship,NJ,13,43800,?,3,13.65,2,450.45,4659.2,,,,,,,,
PoncaCitycity,OK,?,?,?,20,76.25,24,236.38,4373.02,,,,,,,,
Graftontown,MA,27,26430,?,1,7.36,0,368.19,751.1,,,,,,,,
Dublincity,GA,?,?,?,11,60.13,0,825.36,7165.89,,,,,,,,
Belmonttown,MA,17,5070,?,0,0,2,39.02,1342.18,,,,,,,,
Cumberlandtown,RI,7,20080,?,2,6.68,1,624.31,2670.85,,,,,,,,
DesMoinescity,IA,?,?,?,84,42.97,233,461.42,7589.33,,,,,,,,
Fairborncity,OH,?,?,?,6,19.96,4,123.1,3396.77,,,,,,,,
Southfieldcity,MI,125,74900,0,?,?,13,?,6927.24,,,,,,,,
Seymourtown,CT,9,67610,?,4,27.65,4,214.31,2468.03,,,,,,,,
WestHartfordtown,CT,3,82590,10,1,1.66,9,225.99,3845.13,,,,,,,,
NewBrightoncity,MN,123,45430,?,?,?,4,?,3553.58,,,,,,,,
Sheridancity,WY,?,?,?,6,40.21,4,134.03,3752.85,,,,,,,,
Crystalcity,MN,53,14158,?,?,?,4,?,3029.39,,,,,,,,
Hesperiacity,CA,?,?,?,19,31.97,18,395.44,4073.84,,,,,,,,
Laramiecity,WY,?,?,?,5,18.21,7,284.14,3508.07,,,,,,,,
Eustiscity,FL,?,?,?,8,52.16,0,508.57,2549.39,,,,,,,,
Readingcity,OH,61,65732,?,6,50.83,0,118.6,2685.53,,,,,,,,
Shakopeecity,MN,139,59350,?,4,30.37,2,258.16,5011.39,,,,,,,,
Hartsellecity,AL,?,?,?,1,8.5,?,25.51,?,,,,,,,,
Edencity,NC,?,?,?,0,0,3,478.65,5613.23,,,,,,,,
LaHabracity,CA,?,?,?,17,31.52,16,904.83,3982.72,,,,,,,,
Adacity,OK,?,?,?,5,31.34,7,532.85,4783.1,,,,,,,,
Oaklandborough,NJ,3,53850,?,0,0,1,24.59,696.61,,,,,,,,
Portervillecity,CA,?,?,?,14,42.96,2,589.14,7149.43,,,,,,,,
Pasadenacity,CA,?,?,5,44,32.63,51,1280.74,5938.71,,,,,,,,
NewCastlecity,PA,73,53368,?,15,53.87,22,506.39,3541.16,,,,,,,,
Northportcity,AL,?,?,?,2,9.81,?,853.28,?,,,,,,,,
WestManchestertownship,PA,133,83432,?,0,0,0,123.17,5166.28,,,,,,,,
BeaverFallscity,PA,7,4792,?,1,8.96,1,456.87,1702.05,,,,,,,,
Fultoncity,MO,?,?,?,5,47.29,1,397.28,4048.43,,,,,,,,
DeLandcity,FL,?,?,?,12,65.47,4,1964.1,12766.65,,,,,,,,
Covingtoncity,KY,?,?,?,29,67.62,73,1587.93,8580.89,,,,,,,,
Brookingscity,SD,11,7580,?,3,17.21,0,45.89,3092.01,,,,,,,,
SandSpringscity,OK,?,?,?,5,30.13,1,391.64,4295.96,,,,,,,,
IdahoFallscity,ID,?,?,?,19,37.07,26,345.37,5715.12,,,,,,,,
Mesacity,AZ,?,?,5,111,34.19,86,719.23,6744.72,,,,,,,,
Westboroughtown,MA,27,75015,?,3,20.37,0,312.39,2159.59,,,,,,,,
Bridgeporttownship,MI,145,10460,?,?,?,1,?,2122.79,,,,,,,,
Woodhavencity,MI,163,88380,?,?,?,2,?,5862.24,,,,,,,,
ApacheJunctioncity,AZ,?,?,?,8,36.19,6,389.09,4569.52,,,,,,,,
SouthSanFranciscodivision,CA,81,93170,?,5,8.9,21,377.37,3809.32,,,,,,,,
Maynardtown,MA,17,39625,?,2,19.1,3,257.86,1537.58,,,,,,,,
Lumbertoncity,NC,?,?,?,2,10.24,11,962.82,10739.53,,,,,,,,
WebsterGrovescity,MO,?,?,?,0,0,6,124.69,1835.93,,,,,,,,
Hamptoncity,VA,650,35000,5,49,34.74,73,455.92,5054.1,,,,,,,,
Newtoncity,IA,?,?,?,1,6.67,?,93.44,?,,,,,,,,
